Categoria: Totes les categories

Setmana,boots: (Regne Unit)
2017-01-01,57
2017-01-08,54
2017-01-15,55
2017-01-22,45
2017-01-29,43
2017-02-05,42
2017-02-12,44
2017-02-19,39
2017-02-26,40
2017-03-05,41
2017-03-12,38
2017-03-19,38
2017-03-26,37
2017-04-02,36
2017-04-09,37
2017-04-16,36
2017-04-23,36
2017-04-30,37
2017-05-07,34
2017-05-14,34
2017-05-21,32
2017-05-28,36
2017-06-04,32
2017-06-11,34
2017-06-18,33
2017-06-25,35
2017-07-02,34
2017-07-09,33
2017-07-16,35
2017-07-23,37
2017-07-30,39
2017-08-06,40
2017-08-13,39
2017-08-20,39
2017-08-27,42
2017-09-03,46
2017-09-10,49
2017-09-17,52
2017-09-24,52
2017-10-01,56
2017-10-08,57
2017-10-15,55
2017-10-22,58
2017-10-29,56
2017-11-05,65
2017-11-12,68
2017-11-19,89
2017-11-26,82
2017-12-03,78
2017-12-10,81
2017-12-17,84
2017-12-24,100
2017-12-31,56
2018-01-07,51
2018-01-14,55
2018-01-21,44
2018-01-28,45
2018-02-04,43
2018-02-11,41
2018-02-18,42
2018-02-25,44
2018-03-04,45
2018-03-11,38
2018-03-18,38
2018-03-25,41
2018-04-01,40
2018-04-08,36
2018-04-15,33
2018-04-22,34
2018-04-29,34
2018-05-06,33
2018-05-13,31
2018-05-20,32
2018-05-27,33
2018-06-03,34
2018-06-10,33
2018-06-17,33
2018-06-24,32
2018-07-01,31
2018-07-08,32
2018-07-15,33
2018-07-22,34
2018-07-29,35
2018-08-05,34
2018-08-12,37
2018-08-19,39
2018-08-26,46
2018-09-02,45
2018-09-09,47
2018-09-16,49
2018-09-23,54
2018-09-30,55
2018-10-07,54
2018-10-14,58
2018-10-21,57
2018-10-28,65
2018-11-04,64
2018-11-11,64
2018-11-18,91
2018-11-25,79
2018-12-02,74
2018-12-09,76
2018-12-16,80
2018-12-23,82
2018-12-30,57
2019-01-06,49
2019-01-13,53
2019-01-20,50
2019-01-27,51
2019-02-03,46
2019-02-10,42
2019-02-17,39
2019-02-24,38
2019-03-03,37
2019-03-10,37
2019-03-17,38
2019-03-24,40
2019-03-31,36
2019-04-07,37
2019-04-14,36
2019-04-21,35
2019-04-28,35
2019-05-05,36
2019-05-12,34
2019-05-19,34
2019-05-26,37
2019-06-02,35
2019-06-09,38
2019-06-16,34
2019-06-23,36
2019-06-30,34
2019-07-07,34
2019-07-14,35
2019-07-21,33
2019-07-28,36
2019-08-04,36
2019-08-11,39
2019-08-18,39
2019-08-25,40
2019-09-01,45
2019-09-08,45
2019-09-15,45
2019-09-22,53
2019-09-29,59
2019-10-06,60
2019-10-13,58
2019-10-20,61
2019-10-27,62
2019-11-03,65
2019-11-10,68
2019-11-17,73
2019-11-24,86
2019-12-01,73
2019-12-08,70
2019-12-15,76
2019-12-22,83
2019-12-29,59
2020-01-05,45
2020-01-12,45
2020-01-19,46
2020-01-26,50
2020-02-02,45
2020-02-09,42
2020-02-16,42
2020-02-23,42
2020-03-01,49
2020-03-08,48
2020-03-15,52
2020-03-22,47
2020-03-29,44
2020-04-05,41
2020-04-12,39
2020-04-19,38
2020-04-26,39
2020-05-03,38
2020-05-10,35
2020-05-17,35
2020-05-24,36
2020-05-31,35
2020-06-07,35
2020-06-14,36
2020-06-21,34
2020-06-28,36
2020-07-05,41
2020-07-12,38
2020-07-19,37
2020-07-26,38
2020-08-02,37
2020-08-09,35
2020-08-16,39
2020-08-23,46
2020-08-30,48
2020-09-06,47
2020-09-13,45
2020-09-20,52
2020-09-27,62
2020-10-04,63
2020-10-11,64
2020-10-18,63
2020-10-25,66
2020-11-01,67
2020-11-08,71
2020-11-15,74
2020-11-22,86
2020-11-29,79
2020-12-06,75
2020-12-13,70
2020-12-20,77
2020-12-27,79
2021-01-03,60
2021-01-10,53
2021-01-17,49
2021-01-24,50
2021-01-31,47
2021-02-07,50
2021-02-14,44
2021-02-21,40
2021-02-28,40
2021-03-07,40
2021-03-14,37
2021-03-21,38
2021-03-28,40
2021-04-04,40
2021-04-11,38
2021-04-18,36
2021-04-25,38
2021-05-02,39
2021-05-09,37
2021-05-16,38
2021-05-23,40
2021-05-30,37
2021-06-06,36
2021-06-13,36
2021-06-20,36
2021-06-27,38
2021-07-04,40
2021-07-11,39
2021-07-18,36
2021-07-25,40
2021-08-01,40
2021-08-08,41
2021-08-15,42
2021-08-22,45
2021-08-29,50
2021-09-05,45
2021-09-12,52
2021-09-19,55
2021-09-26,64
2021-10-03,70
2021-10-10,68
2021-10-17,70
2021-10-24,71
2021-10-31,74
2021-11-07,76
2021-11-14,76
2021-11-21,92
2021-11-28,85
2021-12-05,83
2021-12-12,82
2021-12-19,82
2021-12-26,82
